pid,name,定义
12,磷,磷（Phosphorus），是第15号化学元素，符号P。处于元素周期表的第三周期、第ⅤA族。磷存在于人体所有细胞中，是维持骨骼和牙齿的必要物质，几乎参与所有生理上的化学反应。
13,石油类,石油是指气态、液态和固态的烃类混合物，具有天然的产状。石油又分为原油、天然气、天然气液及天然焦油等形式，但习惯上仍将“石油”作为“原油”的定义用。
14,挥发酚,挥发酚是指沸点在230℃以下的有毒物质，主要污染源为煤气洗涤、炼焦、合成氨、造纸、木材防腐和化工行业的工业废水。
15,铅,铅是一种金属化学元素，元素符号Pb，原子序数为82，原子量为207.2，是原子量最大的非放射性元素。金属铅为面心立方晶体。
16,汞,汞（Hydrargyrum）是化学元素，元素符号Hg，在化学元素周期表中位于第6周期、第IIB族，第80位，俗称水银，还有“白澒、姹女、澒、神胶、元水、铅精、流珠、元珠、赤汞、砂汞、灵液、活宝、子明”等别称，是常温常压下唯一以液态存在的金属。
17,镉,镉，重有色金属元素，化学符号Cd，原子序数48，1817年发现。单质为银白色金属，是一种吸收中子的优良金属，制成棒条可在核反应堆内减缓链式裂变反应速率，而且在锌-镉电池中颇为有用。它的硫化物颜色鲜明，用来制成镉黄颜料。
18,六价铬,六价铬，均以含氧酸根的形式存在，在酸性溶液中主要是橙色的Cr2O72-，在碱性溶液中主要是黄色的CrO42-。在酸性环境中有强氧化性，利用这个特性，在分析化学可用其定量测定铁含量，也可用于检测司机是否酒后驾车。
19,铬,铬（Chromium），化学符号Cr，原子序数为24，在元素周期表中属ⅥB族。元素名来自于希腊文，原意为“颜色”，因为铬的化合物都有颜色。单质为钢灰色金属，是自然界硬度最大的金属。铬在地壳中的含量为0.01%，居第17位。呈游离态的自然铬极其罕见，主要存在于铬铅矿中。
20,砷,砷（Arsenic），俗称砒，元素符号As，是一种非金属元素，在化学元素周期表中位于第4周期、第VA族，原子序数33，单质以灰砷、黑砷和黄砷这三种同素异形体的形式存在。砷元素广泛地存在于自然界，共有数百种的砷矿物已被发现。砷与其化合物被运用在农药、除草剂、杀虫剂，与许多种的合金中。其化合物三氧化二砷被称为砒霜，是种毒性很强的物质。
21,一般工业固体废物,一般工业固体废物，是指从工业生产、交通运输、邮电通信等行业的生产生活中产生的没有危险性的固体废物。如矿山企业产生的尾矿、矸石、废石等矿业固体废物，交通运输制造业产生的废旧轮胎、橡胶、印刷企业产生的废纸，服装加工业产生的边角废料、皮革边等等。
22,危险废物,危险废物是指列入国家危险废物名录或者根据国家规定的危险废物鉴别标准和鉴别方法认定的具有危险特性的固体废物。
23,生活垃圾,人们在日常生活中或者为日常生活提供服务的活动中产生的固体废物，以及法律、行政法规规定视为生活垃圾的固体废物。主要包括居民生活垃圾、集市贸易与商业垃圾、公共场所垃圾、街道清扫垃圾及企事业单位垃圾等。
24,无害化处理厂,无害化处理，环境科学学术用语。意思是：使垃圾不再污染环境，而且可以利用，变废为宝。
25,卫生填埋厂,卫生填埋，是指对城市垃圾和废物在卫生填埋场进行的填埋处置。为防止对环境造成污染，根据排放的环境条件，采取适当而必要的防护措施，以达到被处置废物与环境生态系统最大限度的隔绝，称为固体废物“最终处置”或“无害化处置”。固体废物最终处置途径可归纳为两种：陆地处置与海洋处置。经验证明，陆地填埋处置是最终处置城市垃圾最经济有效的方法，这种处置方式是基于环境卫生角度，因而又称为“卫生填埋”。
26,焚烧厂,
27,其他垃圾处理厂,
28,道路交通噪声,交通噪声是指交通工具运行时所产生的妨害人们正常生活和工作的声音。包括机动车噪声、飞机噪声、火车噪声和船舶噪声等。
29,区域环境噪声,环境噪声，是指在工业生产、建筑施工、交通运输和社会生活中所产生的干扰周围生活环境的声音。
